"Method","RBPMean","RBPMedian","ARBPMean","ARBPMedian","RMSEMean","RMSEPMedian"
"E_OR",7.92586796847457,-0.0187047055997682,19.2810767299517,9.9187098405298,51.2813037311628,35.1427991302085
"M_OR",8.83861978885193,-0.702584066914009,19.1278057243554,9.0950897622619,31.4326668610743,20.5993494742956
"R_OR",5.70489450093085,-3.32816392646801,18.8403536031657,10.2834298097954,32.3143383114635,22.6397362709342
"X_OR",8.36015134663717,-1.0265851521709,18.870329904959,9.50550098297193,36.7767863760695,26.5117963815567
"EE_NIPW",9.72189223520634,3.55526445456806,26.1694825120012,16.9840850972821,90.5458990263265,66.2737727760374
"EM_NIPW",9.94832324101525,0.183421861837821,18.4317826005393,7.52025314548077,31.2971293241786,20.5631493035161
"ER_NIPW",-41.9849057872053,-46.9095930228719,45.2533862194399,47.0129734620936,50.3184014290273,50.3452733605597
"EX_NIPW",1.14136823235942,-7.32057200777959,19.2733032209835,12.3311244299277,37.7704963161955,29.4702611359102
"MM_NIPW",9.3967300995023,-0.147235421485314,18.2588710959537,7.3983945345547,31.0997441383155,20.503055480703
"ME_NIPW",9.02573481498404,3.216486556059,26.0120826872918,16.4781553620612,90.4595385475509,66.1837992461041
"MR_NIPW",-42.4426813373063,-46.8576871389306,45.6970432286077,47.1419888636772,50.7031077398061,50.3749438001314
"MX_NIPW",0.628376811090938,-7.4537333136385,19.3107076165579,11.7801731000116,37.6074424399824,29.4193844834969
"RR_NIPW",-43.6317183854384,-47.9786157492995,46.646921711799,48.1572034423926,51.5935792079264,51.3098092597089
"RE_NIPW",6.50570198304134,0.790288639616304,25.9712135965143,15.2129818232347,90.3049079839711,65.8666184746146
"RM_NIPW",7.43643296666412,-2.06149262968381,18.0908854712326,8.64808440449504,30.7213718509611,20.7162026089631
"RX_NIPW",-1.21183915934326,-9.14316894402318,19.9376247527788,13.4085480273573,37.4306203400202,29.9967260741254
"XX_NIPW",-0.509056701873401,-8.44875243241067,19.6477285777127,13.1227059768018,37.1803218588229,29.3117422687251
"XE_NIPW",7.62901882217788,1.7210709670983,25.9820051287223,15.8886391215767,90.324506323213,65.975661343102
"XM_NIPW",8.32514652008659,-1.40273145398604,18.1479848445423,7.84821724102013,30.863322915339,20.5757729776775
"XR_NIPW",-43.0943001876055,-47.5328658782715,46.2057209919471,47.9730404904468,51.1598878522829,51.0524016055973
"EEM_AIPW",10.0953628372937,1.1991093806097,18.6998349655234,7.69912530013241,31.2803662571457,20.6965363988105
"EER_AIPW",-41.7588540466779,-46.7970098161351,45.2104545781404,46.8103069114067,50.2206280935986,50.6293824253919
"EEX_AIPW",1.28956722298573,-7.52912816928802,19.1510694640786,11.6598514567011,37.6030307061559,29.2492569629268
"EMM_AIPW",10.1551102022548,1.82913513995256,19.5527061554049,9.66797037136363,32.7802256844624,22.6105030354319
"EMR_AIPW",-41.7642396674833,-45.6903962327175,45.3840943078081,46.1499769743812,51.3215525805269,50.4706977605317
"EMX_AIPW",1.50894962960983,-6.77069844671063,18.908097046023,12.1276877835033,38.4191977722797,29.8973200899746
"ERM_AIPW",9.71167023920371,2.10846221365494,19.2332836372747,9.1238461641425,32.4755244409602,22.4408914236378
"ERR_AIPW",-38.4493946546017,-42.9649058937702,42.8717548759973,43.0648582254478,49.0038876693493,47.7094551882977
"ERX_AIPW",1.68230049998418,-6.29033747628398,18.7170906898057,11.8378494714562,37.5175631663941,28.8538992676051
"EXM_AIPW",9.87836604066484,1.59887550195862,19.3475312275714,9.48870258747355,32.5851868579982,22.2327605262497
"EXR_AIPW",-39.8393122403588,-44.2454082593458,43.9856516429203,44.4303376681701,50.0068016810595,48.8239612614932
"EXX_AIPW",1.45706007910385,-6.91457568495537,18.8613109041279,11.9425063844855,37.618097152458,28.9850893415409
"MEE_AIPW",9.78788677763946,3.70621242287301,26.0752413214095,15.6661271312716,90.4561395080465,66.2659393979852
"MER_AIPW",-41.8232492874184,-47.0820271144126,45.2417092313597,47.1067105150225,50.2242124147086,50.6196749039202
"MEX_AIPW",1.26909258993189,-7.66259239212412,19.1443886833354,12.0224410093209,37.5885044614132,29.2418061494459
"MME_AIPW",9.15755233306105,7.82338250109885,27.9804403398392,18.0365553264222,93.059174932199,66.3516624537273
"MMR_AIPW",-42.0298927592474,-46.9664557374974,45.1954407547099,47.3634564853368,50.3242931374608,50.6466314403797
"MMX_AIPW",1.23897929548242,-7.4197381392608,19.1474557481625,12.1545863121656,37.5739993499738,29.3936473344186
"MRE_AIPW",8.36215049710558,5.65397349807879,26.6054442125366,16.6658155229896,87.7574035077098,62.2358612275825
"MRR_AIPW",-38.6616914573661,-43.7885954965685,42.7152743658656,44.4592986031381,47.9179620726093,47.8444022721743
"MRX_AIPW",1.52468127707103,-7.21427007836734,19.1086192540709,11.7591735242165,36.646803803708,28.4056019165388
"MXE_AIPW",8.6690523078808,6.80094782649481,27.1518899300519,16.8479854974972,89.8978130244513,63.8608412934368
"MXR_AIPW",-40.0332909204386,-45.1613006967078,43.7654877901394,45.3789759640522,48.8990703522467,49.225000544308
"MXX_AIPW",1.23586433226653,-7.14513287180221,19.1746706373333,11.7124473779684,36.7412280533455,28.7528822717349
"REE_AIPW",9.66412071990206,3.60097496099987,26.1415668032733,16.6221617004598,90.4097759933287,66.2723627645417
"REM_AIPW",9.95165142875746,1.16230471241217,18.4671192934513,8.00031832792806,31.2354479995949,20.603110953913
"REX_AIPW",1.14723880537694,-7.30190913877933,19.1935518305198,11.9448443880129,37.4169351099179,29.5331543004036
"RME_AIPW",9.14196668050613,7.74380853362658,27.6846255156571,18.1940361016138,92.8586564225456,66.4275398271382
"RMM_AIPW",9.86877915208587,1.02632989945425,18.9806704258588,8.68473214727774,31.5122193030785,20.7777930437752
"RMX_AIPW",1.22154562503623,-6.646305642576,19.0924343061328,11.4555109337843,37.2928242099632,29.2980683234076
"RRE_AIPW",7.71667638669321,5.71186310678171,26.2442430815169,17.0734294295139,87.5980421562684,62.5624022729096
"RRM_AIPW",8.90406060551553,0.0511695809910029,18.763518115979,8.5338002734586,31.2187207097613,20.5277788980163
"RRX_AIPW",0.87242906976612,-7.31774814740544,19.2260601266,11.9215171992413,36.4572152804014,28.2568415491136
"RXE_AIPW",8.35367029991684,6.87970444905195,26.8515967605804,18.1545189014774,89.7720079759689,64.0254143772159
"RXM_AIPW",9.33915172466734,0.621280687716895,18.8866018762206,9.1204348981158,31.3873966186134,20.7069927787205
"RXX_AIPW",0.919859661754384,-7.00353424520373,19.1931435392951,11.8640660341939,36.5643971351887,28.5292806448116
"XEE_AIPW",9.75381441138241,3.40965631022721,26.6592548781445,16.2826659732634,90.0878675062986,65.633737222466
"XEM_AIPW",10.0408158379828,0.779443318260935,18.8358019440841,8.30260869884803,33.3805444747235,22.9106337609302
"XER_AIPW",-41.8388968551353,-46.5532678914652,45.4589079227205,47.4279595709854,51.3696212294181,51.4509219704678
"XME_AIPW",9.19221168705149,7.08851709705924,28.315799883327,18.2823665007181,92.5899562097976,65.4719453386774
"XMM_AIPW",9.91979922211782,0.663016261593777,19.7555139611077,9.09022317788147,33.7272564616512,23.2190801288164
"XMR_AIPW",-42.0577493555311,-47.9510379281076,45.6765200496156,48.0869129922595,51.5149926988978,51.9060272294255
"XRE_AIPW",8.33470571092418,5.43447972908305,26.8057571663753,17.9910204695971,87.4620835588454,61.7425353886137
"XRM_AIPW",9.52572470677091,0.845795698825598,19.4954939221594,8.91789890028339,33.2890740801576,22.7668888391429
"XRR_AIPW",-38.6327835660498,-44.4893308333782,43.1077959477105,44.6802387642097,49.117399345856,48.8074595861821
"XXE_AIPW",8.7144850613133,6.22863788091183,27.4242828636241,17.745861461509,89.6599863475858,63.2755533916137
"XXM_AIPW",9.70260304726002,1.09090670025848,19.5852876607084,8.80739450706241,33.5348942106334,23.0821001777745
"XXR_AIPW",-40.0158139126311,-45.4113689779966,44.1690001853156,45.9793469221643,50.1462316421408,50.0365700367063
"Dir_tau",1.13028949461755,-2.58741390242095,17.9425446557042,10.9123110970511,202.798741670698,168.868166119132
